16.9060	6.0753
17.2717	6.0117
17.5580	5.9799
17.9079	5.9799
18.1306	6.0276
18.3850	6.0753
18.5759	6.2662
18.6713	6.4729
18.8621	6.5206
19.0689	6.6161
19.3075	6.8069
19.5619	6.9341
19.7051	7.1886
19.8959	7.3795
20.1345	7.4908
20.5162	7.7293
20.7070	7.8725
20.7706	8.0156
20.6116	8.2701
20.6116	8.6200
20.6434	8.9540
20.7865	9.2561
20.9615	9.5106
21.2159	9.4629
21.4068	9.3993
21.5976	9.4788
21.7249	9.6378
21.9157	9.8923
22.1066	9.9241
22.3610	10.0354
22.5519	9.9559
22.5678	9.7651
22.3769	9.4470
22.1702	9.2243
21.8839	8.9699
21.7408	8.7472
21.5658	8.5086
21.3591	8.2542
21.1841	8.1269
21.2159	8.0474
21.3114	8.0474
21.4386	8.1269
21.6931	8.3019
21.9316	8.5086
22.2497	8.7790
22.4883	9.0335
22.8222	9.2243
23.2198	9.5265
23.6492	9.8923
23.8401	10.1468
23.9832	10.3694
24.3649	10.6875
24.7148	11.1010
24.9216	11.3873
25.1760	11.7372
25.2874	12.0075
25.3828	12.3097
25.3828	12.3892
25.5736	12.5801
25.7327	12.8822
25.8122	13.2639
25.9871	13.7888
26.1303	14.2500
26.2098	14.5999
26.2416	14.8861
26.1303	15.1247
26.1303	15.3792
26.1780	15.6813
26.2575	16.1267
26.3688	16.7151
26.4961	17.1604
26.5756	17.5580
26.6233	17.9397
26.6392	18.3850
26.5915	18.6713
26.4961	18.9258
26.2734	19.1484
25.8917	19.3393
25.4941	19.3870
25.4146	19.2756
25.3828	19.2120
25.1919	19.2756
25.1124	19.4665
25.0329	19.5619
24.9693	19.5937
24.8739	19.6573
24.6512	19.5778
24.5240	19.5142
24.2854	19.4506
24.1423	19.3075
23.9037	19.2120
23.7129	19.1325
23.6652	19.0530
23.5220	19.0212
23.4107	19.0053
23.3948	19.0848
23.3948	19.3393
23.4107	19.4983
23.6492	19.6892
23.8242	19.8800
24.0787	20.0231
24.2218	20.2299
24.3331	20.4048
24.3649	20.5798
24.3331	20.6752
24.1741	20.7865
24.0468	20.8342
24.0309	20.9297
23.9196	21.0887
23.7288	21.1523
23.4425	21.1046
23.3153	21.0251
23.0290	20.9297
22.6950	20.9138
22.4246	20.7706
22.1384	20.6752
21.8680	20.5480
21.5658	20.4844
21.4386	20.4207
21.1841	20.4048
21.0887	20.5480
20.9297	20.5321
20.7229	20.4525
20.4207	20.4048
20.2299	20.3412
19.9118	20.1981
19.5778	20.0708
19.2597	19.9754
18.9417	19.8323
18.7985	19.7210
18.7667	19.5778
18.5441	19.4665
18.2260	19.3711
17.7807	19.1802
17.4944	19.0212
16.9855	18.7349
16.3811	18.2260
16.0153	17.6852
15.6495	17.0809
15.4269	16.7151
15.1724	16.3811
14.8861	15.6972
14.6317	15.2042
14.4408	14.6794
14.3772	14.3772
14.2182	14.1068
14.0432	13.8524
13.9955	13.6774
14.1068	13.6615
14.1705	13.8365
14.3136	13.7729
14.2977	13.5820
14.2182	13.2798
14.2182	13.1367
14.4249	13.3435
14.6158	13.3912
14.5681	13.2003
14.4090	13.0095
14.2182	12.8981
14.1864	12.7073
14.1546	12.4687
14.0591	12.3733
13.9001	12.3256
13.8047	12.0552
13.6615	11.7053
13.5184	11.1328
13.4230	10.8624
13.3594	10.4966
13.2798	10.4171
13.2003	10.1468
13.2957	9.9718
13.2639	9.5265
13.2162	9.0971
13.3435	8.7472
13.4707	8.5882
13.5979	8.5086
13.8683	8.5245
14.1705	8.4609
14.4726	8.3655
14.7430	8.3178
14.8702	8.3337
14.9975	8.2701
15.0452	8.1269
15.1724	7.9361
15.3633	7.7930
15.4269	7.7930
15.6495	7.6657
15.5859	7.4908
15.5223	7.3795
15.6495	7.2204
15.8722	7.1091
16.0789	6.9182
16.2221	6.7433
16.4129	6.5206
16.6356	6.2821
